ID,SMILES,Fluorescence
68,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCC1=NC3=CC=CC=C3N1C)C(=O)C2,0
69,COC1=CC=CC=C1N1CCN(CC1)C(=O)CN1C=CC2=C(CC1=O)C=C(OC)C(OC)=C2,1
70,COC1=C(OC)C=C2C(=O)N(CCC(=O)NC3CCCC3)C=NC2=C1,0
72,COC1=CC=CC=C1CNC(=O)CCN1C=NC2=CC(OC)=C(OC)C=C2C1=O,0
73,COC1=C(OC)C=C2C(=O)N(CCC(=O)NCC3=CC=CC=C3)C=NC2=C1,0
75,CC(=O)NC1=CC=C(C=C1)C(=O)CN1C=NC2=CC(F)=CC=C2C1=O,0
76,COC1=CC2=C(C=C1OC)C=CN(CC(=O)N1CCN(CC1)C1=NC3=CC=CC=C3N1C)C(=O)C2,0
77,CC(=O)N1CCN(CC1)C(=O)C1=CC(=NC2=CC=CC=C12)C1=CC=CO1,1
79,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCSC1=CC=CC=C1)C(=O)C2,0
80,COC1=CC2=C(C=C1OC)C=CN(CC(=O)N1CCN(CC1)C1=CC=CC=C1)C(=O)C2,0
81,COC1=CC2=C(C=C1OC)C=CN(CC(=O)N1CCN(CC1)C1=CC=C(C=N1)C(F)(F)F)C(=O)C2,0
83,ClC1=CC=C(C=C1)C(CN1C=CC=C1)CC(=O)NCC1CCOCC1,1
84,COCCN1C=CC2=CC=C(C=C12)C(=O)NCCC1=CC=C(O)C=C1,1
85,O=C(C1CN(C(=O)C1)C1=NNC2=CC=CC=C12)N1CCCC1,0
86,CCCCN1C(=O)C2=CC=CC=C2C(C(=O)NCC2CCOCC2)C11CCCC1,0
87,CC1=NN2C(=N1)N=CC1=C2C=CN(CC(=O)NCCC2=CC=C(O)C=C2)C1=O,1
88,NS(=O)(=O)C1=CC=C(CNC(=O)C2=CC=CC(NC3=NC=CC=N3)=C2)C=C1,0
90,COC1=CC=C(CN2C(=O)N[C@@H](CC(=O)NC3=CC=C4NC=CC4=C3)C2=O)C=C1OC,0
95,CSCCC(N)C1=NC(=NO1)C1=CC=CO1,0
97,CSCCC(N)C1=NC(=NO1)C1=CC=CS1,0
99,CSCC[C@@H]1NC(=O)C2=CC(NC(=O)C3=CC(=O)NC4=CC=CC=C34)=CC=C2NC1=O,0
100,COC1=CC=C(CN2C(=O)N[C@@H](CCC(=O)NC3=CN(C)N=C3)C2=O)C=C1,0
101,CC1=C(C)N=C(NC(=O)CC[C@@H]2NC(=O)N(CC3=CC=C4OCOC4=C3)C2=O)S1,0
102,COC1=CC=C(CCN2C(=O)N[C@@H](CCC(=O)NCC3=CC=CN3C)C2=O)C=C1,0
106,O=C(C[C@@H]1NC(=O)N(CC2=CC=CC=C2)C1=O)NC1=CC=CC2=NC=CC=C12,0
108,O=C(C[C@@H]1NC(=O)N(CC2=CC=CC=C2)C1=O)NC1=CC=C(C=C1)N1CCCS1(=O)=O,0
109,COC1=CC=C(CN2C(=O)N[C@@H](CC(=O)NCCN3C=NC4=CC=CC=C34)C2=O)C=C1,0
111,FC1=CC=C2C=CN(CCNC(=O)C[C@@H]3NC(=O)C4=CC=CC=C4NC3=O)C2=C1,0
112,COC1=CC=C(CC2=NC(NC(=O)CC[C@@H]3NC(=O)C4=CC=CC=C4NC3=O)=NN2)C=C1,0
113,O=C(C[C@@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=NNC(=N1)C1CCCCC1,0
114,O=C(CC[C@@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=CC=CC(=C1)N1CCCCS1(=O)=O,0
115,COC1=CC=C(CN2C(=O)N[C@@H](CCC(=O)NCC3=CC=C(C=C3)S(N)(=O)=O)C2=O)C=C1,0
116,COC1=CC=C(CN2C(=O)N[C@@H](CCC(=O)N[C@@H](C)C3=NN=C4C=CC=CN34)C2=O)C=C1,0
118,CN1C=CC(NC(=O)CC[C@@H]2NC(=O)N(CC3=CC=CC=C3Cl)C2=O)=N1,0
120,CC1=CSC(NC(=O)CC[C@@H]2NC(=O)N(CCC3=CC=CC(F)=C3)C2=O)=N1,0
121,COCCN1C=CC2=C(NC(=O)CC[C@@H]3NC(=O)N(CC4=CC=CC=C4)C3=O)C=CC=C12,0
122,CN1C=CN=C1C(=O)C1=CC=CC(NC(=O)CC[C@@H]2NC(=O)N(CC3=CC=CC=C3)C2=O)=C1,0
123,CC1=C(C(C)=NN1)S(=O)(=O)N1CCN(CC1)C(=O)CC[C@@H]1NC(=O)C2=CC=CC=C2NC1=O,0
124,O=C(CC[C@@H]1NC(=O)N(CC2=CC=CO2)C1=O)NC1=NN=C(S1)C1CC1,0
125,NC(=O)C1=CC=C(NC(=O)C[C@@H]2NC(=O)N(CCC3=CNC4=CC=CC=C34)C2=O)C=C1,0
126,CC(=O)C1=CN(CCNC(=O)CC[C@@H]2NC(=O)C3=CC=CC=C3NC2=O)C2=CC=CC=C12,0
127,ClC1=CC(CN2C(=O)N[C@@H](CC(=O)NCCN3C=CC=N3)C2=O)=CC=C1,0
132,CN1C=C(OCC2=CC=CC=C2)C(=O)C=C1C(=O)NC1=CC=CC=C1,0
133,CN1C=C(OCC2=CC=CC=C2)C(=O)C=C1C(=O)NC1=NC(C)=C(C)S1,0
135,O=C(NCCN1C=NC2=CC=CC=C2C1=O)NC[C@@H]1CCCN2CCCC[C@H]12,1
136,CN(C)S(=O)(=O)N1CCN(CN2N=CC3=CC=CC=C3C2=O)CC1,0
142,CC(C)CC1=NC(NC(=O)C2=C(C)N(N=C2C)C2CCS(=O)(=O)C2)=NN1,0
143,COC1=C2CN(C)CCC2=C(CNC(=O)CCC2NC(=O)N(CC3=CC=C4OCOC4=C3)C2=O)C2=C1OCO2,0
144,O=C(CC1NC(=O)C2=CC=CC=C2NC1=O)NC1CCN(CC2=NC3=CC=CC=C3N2)CC1,0
145,O=C(CC1NC(=O)N(C1=O)C1=CC=CC=C1)N1CCOC(C1)C1=CC=CC=C1,0
146,COC1=CC=C(C=C1)C1=NN(C)C(=C1)C(=O)NC1=CN(C)N=C1,0
151,COC1=CC=CC2=C1C=CN2CC(=O)NC1=CC=C(OCCN(C)C)C=C1,0
152,CSCC[C@@H](CO)NC(=O)CN1N=CC2=CC=CC=C2C1=O,0
153,ClC1=CC=C2N(CCNC(=O)CCC3NC(=O)C4=CC=CC=C4NC3=O)C=NC2=C1,0
154,CN1C=CC(NC(=O)CCNC2=NC=CC=N2)=N1,0
156,COC1=C(OC)C=C2C(=O)N(CC(=O)NC3=C(C)N(N=C3C)C(C)C)C=NC2=C1,0
157,CN1C=C(NC(=O)C2=C(C)C3=C(S2)N=CNC3=O)C=N1,0
159,COC1=CC=C2N(C)C(=CC2=C1)C(=O)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,1
160,COC1=CC=C(OC)C2=C1C=C(N2C)C(=O)N1CCN(CC1)C1=CC=CC=N1,0
161,OC1=NN=C(CCC(=O)N2CCCCC2C2=NC3=CC=CC=C3N2)C(=O)N1,0
162,O=C(CCC1NC(=O)C2=CC=CC=C2NC1=O)N1CCN(CC1)C1=CN=CC=N1,1
165,C[C@@H](CO)NC(=O)COC1=C2C(C)=CC(=O)OC2=C2CCC(C)(C)OC2=C1,1
166,COCCN1C=CC2=C(C=CC=C12)C(=O)NC1=CC(C)=NN1C1CCS(=O)(=O)C1,1
167,COCC1=NNC(=N1)C1=CC=C(NC(=O)CCN2C(=O)CC3(CCCC3)C2=O)C=C1,0
168,COC1=CC=C(OC)C2=C1C=C(N2C)C(=O)NC(C)C,0
169,COC1=CC=C(NC(=O)CN2C=CC3=C(C=NC4=CC=NN34)C2=O)C(OC)=C1,1
171,CC[C@@H](C)[C@@H](CO)NC(=O)CC1=NN(C(C)C)C(=O)C2=CC=CC=C12,0
172,CC1=NN(C(C)=C1CC(=O)NC1=CC=CC=N1)C1=CC=CC=C1,0
173,COC1=C(OC)C=C2C(=O)N(CCC(=O)NC3=CC=C(NC(C)=O)C=C3)C=NC2=C1,0
174,O=C(CC1NC(=O)N(C1=O)C1=CC=CC2=CC=CC=C12)NCC1=CC=CC=N1,0
175,COC1=CC=C(C=C1)N1C(=O)NC(CC(=O)N2CCC3(O)CCCCC3C2)C1=O,0
176,CC(C)S(=O)(=O)N1CCN(CC1)C(=O)CC1NC(=O)N(C1=O)C1=CC=CC2=CC=CC=C12,0
177,CC(C)CNC(=O)C1=CC=C(C=C1Cl)N1CCCCS1(=O)=O,0
178,COCCNC(=O)C1=CC=C(C=C1Cl)N1CCCCS1(=O)=O,0
179,COCCCNC(=O)C1=CC=C(C=C1Cl)N1CCCCS1(=O)=O,0
180,ClC1=CC(=CC=C1C(=O)NCCN1CCOCC1)N1CCCCS1(=O)=O,0
181,CN(C)CCCNC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0
182,COC1=CC=C(C=C1S(=O)(=O)N1CCCC2=CC=CC=C12)N1C(=O)CCC1=O,0
183,CC(C)C(=O)NCCC1=CSC(=N1)C1=CC=CN=C1,0
184,CC(C)(C)C(=O)NCCC1=CSC(=N1)C1=CC=CN=C1,0
185,O=C(NCCC1=CSC(=N1)C1=CC=CN=C1)NC1CCCCC1,0
186,O=C(NCCC1=CSC(=N1)C1=CC=NC=C1)C1CCCCC1,1
187,CC(C)CNC(=O)C1CCN(CC1)C(=O)C1CN(C(=O)C1)C1=CC=CC=C1,0
189,CC(=O)NC1=CC=C(NC(=O)C2CCN(CC2)C(=O)C2CN(C(=O)C2)C2=CC=CC=C2)C=C1,0
193,COC1=CC=C(NC(=O)C2=C(C3=CC=CC=C3)S(=O)(=O)CCO2)C(OC)=C1,1
194,COC1=CC=C(CCNC(=O)C2=C(C3=CC=CC=C3)S(=O)(=O)CCO2)C=C1OC,0
196,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(C=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0
198,O=C(N1CCCC2=CC=CC=C12)C1=CC=C(C=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0
200,FC1=CC=C(NC(=O)C2=CC=C(C=C2)S(=O)(=O)C2CCS(=O)(=O)C2)C=C1F,0
201,FC1=CC=C(CCNC(=O)C2=CC=CC(=C2)S(=O)(=O)C2CCS(=O)(=O)C2)C=C1,0
202,O=C(NC1=CC(=CC=C1)C#N)C1=CC=CC(=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0
204,CC(C)CNC(=O)C1=CC(=CC=C1F)S(=O)(=O)C1CCS(=O)(=O)C1,0
205,FC1=CC=C(C=C1C(=O)NCCC1=CCCCC1)S(=O)(=O)C1CCS(=O)(=O)C1,0
206,COCCCNC(=O)C1=CC(=CC=C1F)S(=O)(=O)C1CCS(=O)(=O)C1,0
210,FC1=CC=C(C=C1C(=O)NCC1=CC=CN=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0
211,FC1=CC=C(C=C1C(=O)NCC1=CC=NC=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0
213,COC1=CC=C(CCNC(=O)C2=CC(=CC=C2F)S(=O)(=O)C2CCS(=O)(=O)C2)C=C1,0
214,FC1=CC=C(C=C1C(=O)N1CCC2(CC1)OCCO2)S(=O)(=O)C1CCS(=O)(=O)C1,0
215,CC(C)(C)NC(=O)C1=CC(=CC=C1F)S(=O)(=O)C1CCS(=O)(=O)C1,0
216,CN(C(=O)C1=CC(=CC=C1F)S(=O)(=O)C1CCS(=O)(=O)C1)C1=CC=CC=C1,0
217,CC(C)OC1=CC=C(NC(=O)C2=CC(=CC=C2F)S(=O)(=O)C2CCS(=O)(=O)C2)C=C1,0
218,O=C(NC1=NC=CS1)C1=C(C2=CC=CC=C2)S(=O)(=O)CCO1,0
219,CC(=O)C1=C(C)N=C(NC(=O)C2=C(C3=CC=CC=C3)S(=O)(=O)CCO2)S1,0
220,OC1=CC=C2C(O)=C(C(=O)OC2=C1)C1=CC=CC=C1,1
226,FC1=CC=C(C=C1C(=O)N1CCC2=CC=CC=C12)S(=O)(=O)C1CCS(=O)(=O)C1,0
229,O=C(NCCC1=NC=C2C=CC=CN12)C1=CC=C(C=C1)S(=O)(=O)N1CCCCC1,0
230,O=C(NCCC1=NC=C2C=CC=CN12)C1=CC=C(C=C1)S(=O)(=O)N1CCOCC1,1
231,ClC1=CC=C(NC(=O)NCCC2=NC=C3C=CC=CN23)C=C1,1
232,CN(CC1=CC=CC=C1)C(=O)C1=C(C2=CC=CC=C2)S(=O)(=O)CCO1,0
233,CC1=C(CN(CC2CCCO2)C(=O)C2=C(C3=CC=CC=C3)S(=O)(=O)CCO2)SC=C1,0
234,ClC1=CC=CC=C1C1=NN=C(O1)C1=CC=NC=C1,1
236,ClC1=C(N=C(SCC#N)S1)S(=O)(=O)C1=CC=CC=C1,0
239,CC(C)C(=O)N1CCN(CC1)C1=CC=CC=C1NC(=O)C1=CC=CN=C1,0
240,CN1C(=CC2=C1C=CO2)C(=O)NC1=CC=C(C=C1)C(C)=O,0
241,COCCCN1COC2=CC=C3C(=O)C(OC4=CC=CC=C4OC)=COC3=C2C1,1
242,Cl.NC1=CC=C(C=C1)C(=O)C1=CC=C2OCCOC2=C1,0
244,CN1C(=O)N(CC(=O)NC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,0
245,ClC1=CC=C(C=C1N1CCCCS1(=O)=O)C(=O)N1CCOCC1,0
247,COC1=CC2=C(C=C1OC)C=CNC(=O)C2,0
248,CC1=CC(=O)C(OCC(=O)N2CCN(CC2)C(C2=CC=CC=C2)C2=CC=CC=C2)=CO1,0
250,CC1=CC(=O)C(OCC(=O)NC2=NC(=CS2)C2=CC=CN=C2)=CO1,0
251,COC1=CC=C(NC(=O)COC2=COC(C)=CC2=O)C=N1,0
253,COCCNC(=O)C1=CC2=C(OC)C=CC(OC)=C2N1C,0
254,Cl.COC1=CC=C(C=C1)C1=NOC(CCCN)=N1,0
256,O=C(CN1C2=CC=CC=C2C(=O)N2CCC[C@H]2C1=O)NCCC1=CC=CC=C1,0
258,COC1=CC=CC=C1C1=NN(CC(=O)NCC2=CC=CC=C2)C(=O)C=C1,0
260,CC1=CC(O)=CC(=O)N1CCCC(=O)NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1,0
261,CC1=C(CNC(=O)C[C@@H]2NC(=O)C3=CC=CC=C3NC2=O)C(C)=NO1,0
262,COC1=CC=C2C(C)=C(CC(=O)NC3=CC=C4NC(=O)[C@@H]5CCCN5C(=O)C4=C3)C(=O)OC2=C1OC,1
263,O=C(CCC1=CC=C2OCCC2=C1)NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1,0
264,O=C(NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1)C1=NNC2=C1CCC2,1
265,O=C(CN1C(=O)C2=CC=CN=C2C1=O)NC1=CC=CC2=NC=CC=C12,0
266,Cl.COC1=CC=C(C=C1)C(CNC(=O)C1=C(SCCO1)C1=CC=CC=C1)N(C)C,0
267,CCN1C(=O)C2=C(SC3=C2CCCC3)N=C1N1CCN(CC1)C(C)=O,1
268,CCCN1C(=O)C2=C(SC3=C2CCCC3)N=C1N1CCN(CC1)C(=O)CC,1
270,CCN1C(=O)C2=C(SC3=C2CCCC3)N=C1N1CCN(CC1)C(=O)C(C)C,0
272,CCC(=O)N1CCN(CC1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)N1C(C)C,0
273,CCS(=O)(=O)N1CCN(CC1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)N1C(C)C,0
274,CCCS(=O)(=O)N1CCN(CC1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)N1C(C)C,0
275,CCCN1C(=O)C2=C(SC3=C2CCCC3)N=C1N1CCN(CC1)C(=O)COC,0
276,CCOCC(=O)N1CCN(CC1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)N1CC(C)C,1
277,FC1=CC=C(N2C=NN=N2)C(=C1)C(=O)N1CCC2=CC=CC=C2C1,0
278,NS(=O)(=O)C1=CC=C(NC(=O)C2=CC(F)=CC=C2N2C=NN=N2)C=C1,0
279,COC1=CC=CC(=C1)N1[C@@H]2CS(=O)(=O)C[C@@H]2N(CCC2=CCCCC2)CC1=O,0
280,COC1=CC=CC(=C1)N1[C@@H]2CS(=O)(=O)C[C@@H]2N(CCC2=CC=C(F)C=C2)CC1=O,0
284,O=C(NC1=CC=C2CCCN(C(=O)C3=CC=CN=C3)C2=C1)C1CC1,0
285,CCCCC(=O)NC1=CC=C2CCCN(C(=O)C3=CC=CN=C3)C2=C1,0
286,CC(C)CC(=O)NC1=CC=C2CCCN(C(=O)C3=CC=CN=C3)C2=C1,0
287,O=C(CNC(=O)C1=CC=CC=C1)NC1=CC=C2N(CCC2=C1)C(=O)C1=CC=CN=C1,0
289,O=C(CNC(=O)C1=CC=CC=C1)NC1=CC=C2CCN(C(=O)C3=CC=CN=C3)C2=C1,0
290,CS(=O)(=O)N1CCC2=CC(NS(=O)(=O)C3=CC=C(C=C3)N3CCCC3=O)=CC=C12,0
291,CS(=O)(=O)N1CCC2=CC(NS(=O)(=O)C3=CC=C(C=C3)N3C(=O)CCC3=O)=CC=C12,0
293,CS(=O)(=O)N1CCC2=CC=C(NS(=O)(=O)CC3=CC=C(F)C=C3)C=C12,0
295,CS(=O)(=O)N1CCC2=CC=C(NS(=O)(=O)CC3=CC=C(Cl)C=C3)C=C12,0
296,ClC1=CC=C(C=C1N1CCCCS1(=O)=O)C(=O)N1CCCC1,0
297,CN1CCN(CC1)C(=O)C1=CC=C(Cl)C(=C1)N1CCCCS1(=O)=O,0
298,CCN1CCN(CC1)C(=O)C1=CC=C(Cl)C(=C1)N1CCCCS1(=O)=O,0
301,COCCCNC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0
302,CN(C)CCNC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0
304,CC(C)(C)NC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0
305,CC(C)CCNC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0
306,COC1=CC=CC(NC2=NC(=NC3=C2C=NN3C)N2CCOCC2)=C1,0
308,COC1=CC=C(CCN2CC(=O)N([C@@H]3CS(=O)(=O)C[C@H]23)C2=CC=CC(OC)=C2)C=C1,0
309,COC1=CC=C(OCCN2CC(=O)N([C@@H]3CS(=O)(=O)C[C@H]23)C2=CC=CC(OC)=C2)C=C1,0
311,CC(=O)N1CCC[C@H]1C(=O)NC1=NOC(C)=C1,0
312,CC1=CC(NC(=O)[C@@H]2CCCN2S(C)(=O)=O)=NO1,0
313,CC(C)CNC(=O)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
315,CC(C)CCNC(=O)C1=CC=CC(=C1)N1CCCCS1(=O)=O,1
316,O=C(NC1=CC=CC=C1)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
317,O=C(N1CCC2=CC=CC=C12)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
318,FC1=CC=CC=C1NC(=O)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
322,CC(=O)C1=CC=C(NC(=O)C2=CC=CC(=C2)N2CCCCS2(=O)=O)C=C1,0
323,O=C(NC1=CC=CC=C1N1CCOCC1)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
324,O=C(NC1=CC=C2OCCOC2=C1)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
326,COCCNC(=O)C1=CC=C(Cl)C(=C1)N1CCCCS1(=O)=O,0
327,NC(=O)C1CCN(CC1)C(=O)C1=CC=C(Cl)C(=C1)N1CCCCS1(=O)=O,0
328,Cl.CN(C)C(CNC(=O)C(C)(C)C)C1=CC=C2OCOC2=C1,0
330,Cl.CN(C)C(CNC(=O)C1=CC=CC(F)=C1)C1=CC=C2OCOC2=C1,0
331,Cl.CN(C)C(CNC(=O)C1=CC=CC=C1Br)C1=CC=C2OCOC2=C1,0
332,Cl.COC1=CC=CC=C1C(=O)NCC(N(C)C)C1=CC=C2OCOC2=C1,0
333,Cl.CN(C)C(CNC(=O)C1=CC=CC=C1Cl)C1=CC=C2OCOC2=C1,0
334,Cl.CN(C)C(CNS(=O)(=O)C1=CC=C(C=C1)N1C(=O)CCC1=O)C1=CC=C2OCOC2=C1,0
335,Cl.FC1=CC=C(CC(=O)NCC(N2CCCC2)C2=CC=C3OCOC3=C2)C=C1,0
336,Cl.O=C(CCC1=CC=CC=C1)NCC(N1CCCC1)C1=CC=C2OCOC2=C1,0
337,Cl.CC(C)C(=O)NCC(N1CCOCC1)C1=CC=C2OCOC2=C1,0
339,COC1=CC=C(C=C1S(=O)(=O)NC1=CC=CC(NC(C)=O)=C1)N1C(=O)CCC1=O,0
340,COC1=CC=C(C=C1)C1=C2C(=CN1CCCN(C)C)N(C)C(=O)N(C)C2=O,1
341,COC1=CC=C(NC(=O)C2CC(=O)NC3=C(C=NN23)C2=CC=CC=C2OC)C=C1,1
343,CC(C)CCNC(=O)CNC(=O)C1CN(C(=O)C1)C1=CC=CC=C1,0
344,O=C(CNC(=O)C1CN(C(=O)C1)C1=CC=CC=C1)N1CCN(CC1)C1=CC=CC=C1,0
345,FC1=CC=C(C=C1)N1CCN(CC1)C(=O)CNC(=O)C1CN(C(=O)C1)C1=CC=CC=C1,0
346,COC1=CC=C(NC2=NC(N3CCCC3)=C3C=NN(C)C3=N2)C=C1OC,1
347,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NN1C)C(=O)NC(C)C,0
348,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NN1C)C(=O)NC1CCS(=O)(=O)C1,0
350,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NN1C)C(=O)N1CCSCC1,0
352,CN(C)CCNC(=O)C1=CC=CC(=C1)N1CCCCS1(=O)=O,0
353,O=C(NC1=CC=CC=C1C(=O)NC1=CC=CC=N1)C1=CC=NC=C1,0
354,COC1=CC(N)=CC=C1NC(=O)C1=CC=CO1,0
355,COC1=CC=C(C=C1OC)C1CC(=O)N(N2C(C)=CC(C)=C(C#N)C2=O)C2=C1C(=O)CCC2,0
357,COC1=CC=C(C=C1)C1NC(=O)N(C)C2=C1C(=O)N(C2)C1=CC=C(C)C(C)=C1,0
