id,smiles,t340,t450,f340,f480,plate,plate_index,plate_code,well_col,well_row
221,COC1=CC=CC=C1OC1=CC=C(NC(=O)C2=CC=CN=C2)C=N1,0,0,1,0,C1109,0,1109,10,9
222,COC1=CC=CC=C1OC1=CC=C(NC(=O)C2=CC=NC=C2)C=N1,0,0,0,0,C1109,0,1109,10,11
225,FC1=CC=C(C=C1C(=O)NCCN1CCOCC1)S(=O)(=O)C1CCS(=O)(=O)C1,0,0,0,0,C1109,0,1109,12,1
238,OCCNC(=O)C1=CC2=C(C=CO2)N1CC1=CC=CC=C1F,0,0,0,0,C1109,0,1109,14,11
243,CC1=CC(C)=C2C=CC(NC(=O)C3=CC=CO3)=NC2=N1,1,0,1,0,C1109,0,1109,16,5
246,NC1=CC=C(C=C1)C1=COC2=CC(O)=CC=C2C1=O,0,0,0,0,C1109,0,1109,16,11
252,CN1C=CC2=C1C=CC=C2NC(=O)COC1=COC(C)=CC1=O,0,0,0,0,C1109,0,1109,18,7
257,CN1C=CN=C1C(=O)C1=CC=CC(NC(=O)[C@@H](N2C=NN=N2)C2=CC=CC=C2)=C1,0,0,0,0,C1109,0,1109,20,1
259,CC1=C(CC(=O)NCC2CCCO2)C(C)=NO1,0,0,0,0,C1109,0,1109,20,5
269,CC(C)C(=O)N1CCN(CC1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)N1C,0,0,0,0,C1109,0,1109,1,9
281,COC1=CC=CC(=C1)N1[C@@H]2CS(=O)(=O)C[C@@H]2N(CCC(C)C)CC1=O,0,0,0,0,C1109,0,1109,5,1
282,CC(=O)NC1=CC=C2CCCN(C(=O)C3=CC=CN=C3)C2=C1,0,0,0,0,C1109,0,1109,5,3
283,CC(C)C(=O)NC1=CC=C2CCCN(C(=O)C3=CC=CN=C3)C2=C1,0,0,0,0,C1109,0,1109,5,5
288,O=C(N1CCC2=CC(NS(=O)(=O)C3=CC=C4OCOC4=C3)=CC=C12)C1=CC=CN=C1,0,0,0,0,C1109,0,1109,5,15
294,CS(=O)(=O)N1CCC2=CC=C(NS(=O)(=O)CC3=CC=CC=C3Cl)C=C12,0,0,0,0,C1109,0,1109,7,11
300,COCCNC(=O)C1=CC(=CC=C1Cl)N1CCCCS1(=O)=O,0,0,0,0,C1109,0,1109,9,7
303,ClC1=CC=C(C=C1C(=O)NCC1=CC=NC=C1)N1CCCCS1(=O)=O,0,0,0,0,C1109,0,1109,9,13
320,COC1=CC=C(NC(=O)C2=CC=CC(=C2)N2CCCCS2(=O)=O)C=C1,0,0,0,0,C1109,0,1109,13,15
321,COC1=CC=C(NC(=O)C2=CC=CC(=C2)N2CCCCS2(=O)=O)C=C1OC,0,0,0,0,C1109,0,1109,15,1
342,CC(C)NC(=O)CNC(=O)C1CN(C(=O)C1)C1=CC=CC=C1,0,0,0,0,C1109,0,1109,19,11
349,COC1=CC2=C(C=C1OC)C1=C(C2)C(=NN1C)C(=O)NCC1=CC=CN=C1,0,0,0,0,C1109,0,1109,21,9
359,COC1=CC=CC=C1OCC1=NC(=NO1)C1=CC=NC=C1,0,0,0,0,C1110,1,1110,0,12
369,COC1=CC=C(C=C1OC)N1N=C(C(C)=O)C(C(C)=O)=C1C,0,0,0,0,C1110,1,1110,4,0
378,CCN1C=C(C(=O)NC2=CC=CN=C2)C(=O)C2=CC(OC)=CC=C12,0,0,0,0,C1110,1,1110,6,2
381,CCC1=CC=CC=C1NC(=O)CC1SCCNC1=O,0,0,1,0,C1110,1,1110,6,8
393,CC1=C2C(=NN1C1=CC=C(Cl)C=C1)C(=O)NN=C2C,0,0,0,0,C1110,1,1110,10,0
399,CCC(C)N(CCNC(=O)NC1=CN(C)C(=O)C2=CC=CC=C12)CC1=CC=CO1,0,0,0,0,C1110,1,1110,10,12
404,FC1=CC=C(C=C1)N1N=CC2=C1N=C(NC2=O)SCC(=O)N1CCCCC1,0,0,1,0,C1110,1,1110,12,6
410,CCC(=O)N1CCC2=CC(Br)=C(C=C12)S(=O)(=O)NCCCN1CCCCC1,0,0,0,0,C1110,1,1110,14,2
417,COCCCNC(=O)C1C(N(C)C(=O)C2=CC(OC)=C(OC)C=C12)C1=CC=C(SC)C=C1,0,0,0,0,C1110,1,1110,16,0
421,CC(C)NC(=O)C1=CC=C2C(=O)N(CC3=CC=C(C)C=C3)C3=NNC(=O)N3C2=C1,0,0,0,0,C1110,1,1110,16,8
423,COC1=CC=C(C=C1)N1N=NC2=C1N=CNC2=O,0,0,0,0,C1110,1,1110,16,12
424,CCNC(=O)C1=CC=C(NC2=NN3C(S2)=NC2=CC=CC=C2C3=O)C=C1,0,0,0,0,C1110,1,1110,16,14
426,CC(C)(C)S(=O)(=O)C1=NN2C(=O)N(CC(=O)NC3=CC=C(Br)C=C3)N=C2C=C1,0,0,0,0,C1110,1,1110,18,2
429,CCOC1=CC=C(CNC(=O)CCN2C(=O)OC3=CC=CC=C23)C=C1,1,0,0,0,C1110,1,1110,18,8
435,CCN(CC)CCCNC(=O)C1=NOC(=C1)C1=CC=CC(Cl)=C1,0,0,0,0,C1110,1,1110,20,4
441,COC1=CC=C(OC)C(NC(=O)CSC2=NN3CCCC(=O)N=C3S2)=C1,0,0,0,0,C1110,1,1110,1,0
443,COC1=CC=C(N(C)C(=O)CN2C=C(C3=CC=CC=C3C2=O)S(=O)(=O)N2CCN(CC2)C2=CC=CC=C2F)C(OC)=C1,0,0,0,0,C1110,1,1110,1,4
452,COC1=CC=C(CC(=O)NC2=CC3=C(C=C2N2CCCC2)N(C)C(=O)N3C)C=C1,0,0,0,0,C1110,1,1110,3,6
457,COC1=CC=C(C=C1)S(=O)(=O)NC1=CC2=C(C=C1SC(C)C)N(C)C(=O)N2C,0,0,0,0,C1110,1,1110,5,0
462,CCN(CC)C(=O)C1=CNC2=CC=C(C=C2C1=O)S(=O)(=O)NC1=CC=CC(SC)=C1,0,0,0,0,C1110,1,1110,5,10
475,CN(C1CCCCC1)S(=O)(=O)C1=CC=C2N(C)C=C(C(=O)N3CCN(CC3)C3=CC=CC=N3)C(=O)C2=C1,0,0,0,0,C1110,1,1110,9,4
476,CCN1C=C(C(=O)NC2CCCCCC2)C(=O)C2=CC(=CC=C12)S(=O)(=O)N(C)C,0,0,0,0,C1110,1,1110,9,6
481,CCOC1=CC=C(CCNC(=O)CN2C(=O)COC3=CC=C(C=C23)S(=O)(=O)N(CC)CC)C=C1,0,0,0,0,C1110,1,1110,11,0
501,COC1=CC=CC=C1C1=NOC(C1)C(=O)NC1=CC=C(C=C1)C(C)=O,0,0,0,0,C1110,1,1110,15,8
503,ClC1=CC=C(CN2N=NC3=C2N=CN(CC(=O)N2CCCCCC2)C3=O)C=C1,0,0,0,0,C1110,1,1110,15,12
508,CCN1C(CN2CCN(CC2)C2=CC=CC(Cl)=C2)=NC2=C1C(=O)NC(=O)N2C,0,0,0,0,C1110,1,1110,17,6
511,ClC1=CC(=CC=C1)N1CCN(CC1)C(=O)CN1C(=O)COC2=CC=C(C=C12)S(=O)(=O)N1CCOCC1,0,0,0,0,C1110,1,1110,17,12
513,CC1=CC=C(C)C(=C1)N1CCN(CC1)C(=O)CN1N=CC2=C(SC=C2)C1=O,0,0,1,0,C1110,1,1110,19,0
522,COC1=CC=CC(=C1)N1CCN(CC1)C(=O)CN1N=CC2=C1C1=CC=CC=C1OC2,0,0,0,0,C1110,1,1110,21,2
523,CCN(CC)CCNC(=O)CCC1=NN=C2N1C1=CC=CC=C1C(=O)N2CC1=CC=C(F)C=C1,0,0,1,0,C1110,1,1110,21,4
536,O=C(CN1C2=CC=CC=C2C2=C1C(=O)NN=C2)N1CCCCC1,0,0,0,0,C1110,1,1110,0,15
547,COC1=CC=CC(C(=O)N2CCCC2CC2=NOC(=N2)C2=CN=CC=N2)=C1C,0,0,0,0,C1110,1,1110,4,5
548,COC1=CC(=CC(OC)=C1)C(=O)N1CCCC(C1)OCC1=NOC(=N1)C1=COC=C1,0,0,0,0,C1110,1,1110,4,7
553,CC(C)(C)C1=CC=CC(NC(=O)CC2CCCN(C2)C2=CC(=O)NN=C2)=C1,0,0,0,0,C1110,1,1110,6,1
572,CC1=CC(C)=C2OC(=CC(=O)C2=C1)C(=O)NC1=CC=CN=C1,0,0,0,0,C1110,1,1110,10,7
575,CCOC1=CC=C(C=C1)C(=O)NC1=C2CCCCC2=NO1,0,0,0,0,C1110,1,1110,10,13
581,COC1=CC(OC)=C2C(C)=C(CC(=O)N3CCCCC3)C(=O)OC2=C1,0,0,0,0,C1110,1,1110,12,9
582,CC1=C2OC(=O)C(CC(=O)NCC3=CC=CC=C3)=C(C)C2=CC=C1O,0,0,0,0,C1110,1,1110,12,11
595,CCOC1=CC=CC=C1NC(=O)C1=NN(C=CC1=O)C1=CC=CC=C1,1,0,0,0,C1110,1,1110,16,5
607,CN(C)CCNC(=O)C1=C(C2=CC=CC=C2)C(=NN(C)C1=O)C1=CC=CC=C1,0,0,0,0,C1110,1,1110,18,13
614,CN1C(SCC(=O)NC2=CC=C(Cl)C=C2)=NN=C1C1=NON=C1NC(C)=O,1,0,0,0,C1110,1,1110,20,11
621,CC12CN(CC(C)(CN(C1)C(=O)C1=CC=CO1)C2=O)C(=O)C1=CC=CO1,0,0,0,0,C1110,1,1110,1,9
624,COC1=CC(=CC(OC)=C1OC)C(=O)NC1=NC(=NS1)C1=CC=CS1,0,0,0,0,C1110,1,1110,1,15
634,CCOC1=CC=CC(=C1)C(=O)N(CC1=CC=CO1)C1=CC=CC=N1,0,0,0,0,C1110,1,1110,5,3
635,COC1=CC=C(OCC(=O)N(CC2=CC=CS2)C2=CC=CC=N2)C=C1,0,0,0,0,C1110,1,1110,5,5
638,O=C(CN1C(SCCOC2=CC=CC=C2)=NC2=CC=CC=C12)N1CCOCC1,0,0,1,0,C1110,1,1110,5,11
645,NC(=O)C1=CC=C(NC(=O)C2CCN(CC2)S(=O)(=O)CC2=CC=C(Cl)C=C2)C=C1,0,0,1,0,C1110,1,1110,7,9
646,CC(C)(C)NC(=O)C1CCN(CC1)S(=O)(=O)CC1=C(F)C=CC=C1Cl,0,0,0,0,C1110,1,1110,7,11
656,OC1=C(C2=NNC(C2)C2=CC=C3OCOC3=C2)C(=O)N(CC2=CC=CC=C2)C(=O)N1,0,0,0,0,C1110,1,1110,9,15
657,CN1C(=O)NC(O)=C(C2=NN(C(C2)C2=CC=C(O)C=C2)C(C)=O)C1=O,0,0,0,0,C1110,1,1110,11,1
658,CCOC1=CC=CC=C1NC(=O)C(C)SC1=NC2=C(CCC2)C(=O)N1,0,0,0,0,C1110,1,1110,11,3
660,CCC1=CC=C(OCC(=O)NCC(N2CCOCC2)C2=CC=CS2)C=C1,0,0,0,0,C1110,1,1110,11,7
665,CC1=CC=CC(=C1)C(=O)N1CCN(CC1)C(=O)C1=NON=C1N,0,0,0,0,C1110,1,1110,13,1
675,COCCNS(=O)(=O)C1=CC=C(OC)C(=C1)C1=NC(=NO1)C(C)C,0,0,1,0,C1110,1,1110,15,5
677,COC1=CC=CC=C1NC(=O)NC1=NC2=CC=CC=C2S1,0,0,0,0,C1110,1,1110,15,9
690,NC(=O)C1=C(N=C2N1CCS2(=O)=O)C1=CC=C(F)C=C1,0,0,0,0,C1110,1,1110,19,3
697,COC1=CC=C(C=C1S(=O)(=O)N1CCN(CC1)C(C)=O)N1C(=O)CCS1(=O)=O,0,0,0,0,C1110,1,1110,21,1
704,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)[C@H]1CS(=O)(=O)C[C@@H]1NC1CCCCC1,0,0,0,0,C1110,1,1110,21,15
706,CC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC2=NC3=CC=CC=C3O2)CC1,0,0,0,0,C1111,2,1111,0,2
710,CC1=CC=C(NC(=O)C2CCCN(C2)S(=O)(=O)C2=CNC(=C2)C(=O)N2CCCC2)C=C1C,0,0,0,0,C1111,2,1111,0,10
713,CCCN1CCN(CC1)S(=O)(=O)C1=CC(=CC=C1OC)C1=NN(C2=C(C)ON=C2C)C(=O)C=C1,0,0,1,0,C1111,2,1111,2,0
715,CCOC1=CC=C(C=C1)S(=O)(=O)N1CCCN(CC1)C1=NN(C(=O)C=C1)C1=CC=CC=C1,0,0,1,0,C1111,2,1111,2,4
716,CC1=CC=C(C=C1C)N1N=C(C=CC1=O)N1CCN(CC1)C(=O)CCCN1C(=O)C2=CC=CC=C2C1=O,0,0,0,0,C1111,2,1111,2,6
717,CC1=CC=C(C=C1)N1N=C(C=CC1=O)N1CCN(CC1)C(=O)C1=NNC2=C1CCCC2,0,0,0,0,C1111,2,1111,2,8
718,COC1=CC=C(C)C=C1N(C)C(=O)C1=CC2=C(S1)N(C)C(=O)N(C)C2=O,0,0,0,0,C1111,2,1111,2,10
739,CCC1=CC=C(NC(=O)CN2N=C(SC)C(=C2N)S(C)(=O)=O)C=C1,0,0,0,0,C1111,2,1111,8,4
754,COCCN1C=CC2=NC(C)=C(C=C2C1=O)C(=O)N1CCN(CC1)C1=CC=CC(OC)=C1,0,0,1,0,C1111,2,1111,12,2
765,O=C(C1CCCN(C1)C1=NC2=CC=CN=C2S1)N1CCN(CC1)C1=CC=CC=C1,0,0,0,0,C1111,2,1111,14,8
769,CCN(CC)C(=O)CN1CCCN(CC2=CC(C)=CC=C2C)S1(=O)=O,0,0,0,0,C1111,2,1111,16,0
774,FC1=CC(=CC=C1)C(CC(=O)N1CCN(CC1)C1=CC=CC=N1)N1C=CC=C1,0,0,1,0,C1111,2,1111,16,10
785,CC(C)NC(=O)CCC1=NN=C2C=CC(NCC3=CC=C(F)C=C3)=NN12,0,0,0,0,C1111,2,1111,20,0
786,CC(C)CNC(=O)C1CCN(CC1)C1=NN=C(S1)N1CCCC1=O,0,0,0,0,C1111,2,1111,20,2
792,COC1=CC=C(CNC(=O)CN2C(=O)CCC3=CC(=CC=C23)S(=O)(=O)N2CCC(C)CC2)C=C1,0,0,0,0,C1111,2,1111,20,14
802,CCN(CC)C(=O)CN1C=CN2N=C(C=C2C1=O)C1=CC=C(OC)C(OC)=C1,0,0,1,0,C1111,2,1111,3,2
811,CC1=CC=C(C(C)=C1)S(=O)(=O)NC1=CC=C2NC(=O)OC2=C1,0,0,0,0,C1111,2,1111,5,4
824,COC1=CC=CC(NC(=O)C2=C(OC=N2)C2=CC=C(C)O2)=C1,0,0,1,0,C1111,2,1111,7,14
841,CC(C)(C)NC(=O)CN1C=NC2=C(C(=NO2)C2=CC=C(Cl)C=C2)C1=O,0,0,0,0,C1111,2,1111,13,0
847,OCC1=CN=C(SCC(=O)NCC2=CC=CC=C2)N1CC1=CC=C(F)C=C1,0,0,0,0,C1111,2,1111,13,12
874,CC1=NN(C(=O)C2=CC=CC=C2Br)C(C)=C1S(=O)(=O)N1CCOCC1,0,0,0,0,C1111,2,1111,21,2
882,FC1=CC=C(C=C1)S(=O)(=O)CC1=NOC(CCC(=O)NCCC2=CC=CC=C2)=N1,0,0,0,0,C1111,2,1111,0,3
885,CCC(C)NC(=O)CN1C(=O)CN(C(=O)NCC2=CC=CC=C2)C2=CC=CC=C12,0,0,0,0,C1111,2,1111,0,9
898,CN(CC1=CC=C(Cl)C=C1)CC1=CC(=O)N2C(C)=CSC2=N1,0,0,1,0,C1111,2,1111,4,3
906,CN(CCCNC(=O)C1CCCN(C1)C1=NC2=CC=CC=C2N1)C1CCCCC1,0,0,0,0,C1111,2,1111,6,3
912,CCCS(=O)(=O)NCC1=CC=C2N(CCC2=C1)C(=O)CC(C)C,0,0,0,0,C1111,2,1111,6,15
916,CC1CCC2=NN(CC(=O)NC3=CC(C)=CC=C3C)C(=O)C=C2C1,0,0,0,0,C1111,2,1111,8,7
923,CC(C)N(CC1=CC=CS1)S(=O)(=O)C1=CC=C2N(CCCC2=C1)C(C)=O,1,0,0,0,C1111,2,1111,10,5
933,CCCCNC1=NC=NC2=C1N=NN2C,0,0,0,0,C1111,2,1111,12,9
938,CCCS(=O)(=O)N1CCN(CC1)C1=CC=C(NC2=CC=CC=C2)N=N1,0,0,1,0,C1111,2,1111,14,3
945,COC1=CC=C(NC(=O)COC2=CC(CSC3=NC=CC=N3)=NC=C2OC)C(OC)=C1,1,0,0,0,C1111,2,1111,16,1
962,COC1=CC(=CC=C1S(=O)(=O)N1CCN(CC2=CC=C3OCOC3=C2)CC1)C1=CC(C)=NO1,0,0,0,0,C1111,2,1111,20,3
970,COC1=CC=CC=C1CC(=O)N1CCCC1C1=CC(C)=NO1,0,0,0,0,C1111,2,1111,1,3
972,CC(C)C1=CC(=NO1)C1CCCN1C(=O)C1=CC=NN1C,0,0,0,0,C1111,2,1111,1,7
974,CC1=NOC(=C1)C1CCCN1S(=O)(=O)C1=CC(C)=CC=C1C,0,0,0,0,C1111,2,1111,1,11
984,CNC(=O)C1=CC2=CC(=CC=C2S1)N(C)S(=O)(=O)C1=CC=C(OC)C=C1,0,0,0,0,C1111,2,1111,3,15
986,CCN(CC)C(=O)C1=CC(C)=NC2=C1C(=O)N(CC(=O)NC1=CC=CC(Cl)=C1)C(=O)N2C,0,0,0,0,C1111,2,1111,5,3
988,O=C1NC2=CC=CC=C2OC2=CC(OC3=CC=CN=C3)=C(C=C12)S(=O)(=O)N1CCCC1,0,0,0,0,C1111,2,1111,5,7
989,CC1=CC=C2OC3=CC(N4CCN(CC4)C4=CC=CC=N4)=C(C=C3C(=O)NC2=C1)S(=O)(=O)N1CCOCC1,0,0,0,0,C1111,2,1111,5,9
990,CCC1=CC=C(NC(=O)C2=CC=C3OCCCOC3=C2)C=C1,0,0,0,0,C1111,2,1111,5,11
994,CCCCNC(=O)C1=CC=C2N(CCCC)C(C)=NS(=O)(=O)C2=C1,0,0,0,0,C1111,2,1111,7,3
1005,COC1=CC(OC)=C(C=C1OC)C1CC(=O)NC2=C1C(C)=NN2C1=NN2C(C)=NN=C2C=C1,0,0,0,0,C1111,2,1111,9,9
1008,CN1C2=CC=C(C=C2C2=CC=CC=C2S1(=O)=O)C(=O)NC1CC1,0,0,0,0,C1111,2,1111,9,15
1010,CC(=O)C1=CC=CC(NC(=O)C2=CN3CCC4=C3C(=CC=C4)C2=O)=C1,0,0,0,0,C1111,2,1111,11,3
1016,CC1=NN=NN1C1=CC=CC(=C1)C(=O)NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1,0,0,1,0,C1111,2,1111,11,15
1017,CCOC1=C2OC(=O)C(=CC2=CC=C1)C(=O)NC1=NC=CS1,0,0,0,0,C1111,2,1111,13,1
1055,BrC1=CC=C(NC(=O)CN2C(=O)C3C4CC(C=C4)C3C2=O)C=C1,0,0,0,0,C1111,2,1111,21,13
1056,CC1=CC=C(NC(=O)N2CCC(CC2)N2CCN(CC3=CC=C(F)C=C3)C2=O)C=C1F,0,0,0,0,C1111,2,1111,21,15
1068,CC1=CC=CC(=C1)C1=CSC2=C1N=CN(CC#N)C2=O,0,0,0,0,C1112,3,1112,2,6
1087,CCC1=NC(CN2C(=O)COC3=CC(=C(C)C=C23)S(=O)(=O)NC(C)C)=NO1,0,0,0,0,C1112,3,1112,6,12
1103,FC1=CC(=CC=C1)C(=O)NCC1=CC=C(S1)S(=O)(=O)N1CCOCC1,0,0,0,0,C1112,3,1112,10,12
1121,CCOC1=CC=C(CNC(=O)CN2C3=C(SC(=C3)S(=O)(=O)N(C)C)SCC2=O)C=C1OC,0,0,0,0,C1112,3,1112,16,0
1124,COC1=CC=C(C=C1)C(=O)NC1=NC=CN(C1=O)C1=CC=CC=C1OC,0,0,0,0,C1112,3,1112,16,6
1125,CC(C1CCN(CC1)S(=O)(=O)C1=C(C)ON=C1C)C(=O)NCC1=CC=C(C)C=C1,0,0,0,0,C1112,3,1112,16,8
1126,FC1=CC=C(C=C1)N1CCN(CC1)C(=O)CC1CCN(CC1)S(=O)(=O)C1=CC=C(Cl)S1,0,0,0,0,C1112,3,1112,16,10
1128,COCCCNC(=O)N1CCN(CC2=NC3=CC=CN=C3N2C2=CC=CC(C)=C2)CC1,0,0,0,0,C1112,3,1112,16,14
1130,CC1CC(=O)NC2=CC(=CC=C2S1)S(=O)(=O)CCC(=O)NC1=CC=C(NC(C)=O)C=C1,0,0,0,0,C1112,3,1112,18,2
1135,CC(=O)C1=CC=C(NC(=O)C2=CC=C(C=C2)N2N=C(C=CC2=O)N2CCCC2)C=C1,0,0,1,0,C1112,3,1112,18,12
1137,CN(C)C1=CC=C(C=C1)C(=O)NCC(=O)N1CCCC2=CC=CC=C12,0,0,0,0,C1112,3,1112,20,0
1147,CC1=CC=CC(NC(=O)COC2=CC(C)=NC(=N2)N2CCCC2)=C1,0,0,0,0,C1112,3,1112,1,4
1163,CCOCCCNC(=O)C1=NN=C(O1)C1=CC=C(C=C1)S(=O)(=O)N1CCC(C)CC1,0,0,0,0,C1112,3,1112,5,4
1179,CCN1CCN(CC1)C(=O)C1=NN2C(N=C(C)C=C2C)=C1C1=CC=C(OC)C(=C1)S(=O)(=O)N1CCCC1,0,0,0,0,C1112,3,1112,9,4
1188,CN1C(SCCC(=O)NC2=CC=C(C=C2)C(C)=O)=NC2=C1N(C)C(=O)N(C)C2=O,0,0,0,0,C1112,3,1112,11,6
1193,CCCNC(=O)C1CCCN(C1)C1=CC=C(SCC(=O)NC2=CC=C(C=C2)S(C)(=O)=O)N=N1,0,0,0,0,C1112,3,1112,13,0
1197,FC1=CC=C(NC(=O)CN2N=C(N3CCOCC3)C3=CC=CC=C3C2=O)C=C1,0,0,1,0,C1112,3,1112,13,8
1198,CC(C)C1=NOC(=N1)C1=CN(CC(=O)NC2=CC=C(C=C2)C#N)C(=O)C=C1,0,0,0,0,C1112,3,1112,13,10
1203,CCCNC(=O)CCC1CCN(CC1)C(=O)C1=CC=CC=C1Cl,0,0,0,0,C1112,3,1112,15,4
1208,CCN1C(=O)COC2=CC(=CC=C12)C1=NOC(=N1)C(=O)NCCC1=CC=CS1,0,0,0,0,C1112,3,1112,15,14
1213,COC1=CC=C(CNC(=O)C2=C(N)C(=NS2)C2=CC=CC=N2)C(OC)=C1,0,0,0,0,C1112,3,1112,17,8
1220,CN1C=C(C(=O)NC2=CC=CC(Cl)=C2)C(=N1)S(=O)(=O)N1CCCCC1,0,0,0,0,C1112,3,1112,19,6
1221,CN(C)C1=CC=CC(=C1)C(=O)NC1=CC(=NO1)C1=CC=CC=N1,1,0,0,0,C1112,3,1112,19,8
